centre_code,centre_name,license_issue_date,license_tenure
PT7900,ELFA Preschool @ Tampines,2025-12-16,36
PT9785,ELITE KIDZ PRESCHOOL,2026-03-03,36
PT9893,Emile Preschool @ APAC,2025-03-23,24
PT9377,EMILE PRESCHOOL PTE. LTD.,2025-06-28,36
PT8340,ENFANT EDUCARE PTE LTD,2024-07-04,36
RC1820,EN-NAEEM MOSQUE KINDERGARTEN,2024-08-27,36
PT5530,EQ EDUCARE PTE LTD,2024-07-02,36
PT9915,Eshkol Valley @ BP Pte Ltd,2025-11-13,24
PT9068,ESHKOL VALLEY @ NORTHSTAR PTE. LTD.,2025-08-15,24
PT9852,Eshkol Valley @ PPCC Pte Ltd,2026-01-04,24
PT8834,ESHKOL VALLEY @ SENGKANG PEARL PTE. LTD.,2024-04-01,36
PT9205,Eshkol Valley @ Yishun Pte Ltd,2024-10-17,36
PT9114,ETONHOUSE BILINGUAL PRE-SCHOOL PTE. LTD.,2026-03-09,36
PT9872,EtonHouse Garden School by the Bay,2024-08-15,24
PT7110,ETONHOUSE INTERNATIONAL RESEARCH PRE-SCHOOL PTE.LTD.,2026-04-01,36
PT9228,EtonHouse Pre-School by the Beach,2024-01-11,36
PT5460,ETONHOUSE PRE-SCHOOL PTE LTD,2025-03-19,36
PT8945,ETONHOUSE PRE-SCHOOL PTE LTD,2025-11-17,36
PT9236,ETONHOUSE PRE-SCHOOL PTE LTD,2024-03-07,36
PT9331,ETONHOUSE PRE-SCHOOL PTE LTD,2026-01-03,36
PT9878,EtonHouse Pre-School Pte Ltd,2025-01-01,24
PT6860,EUREKA SCHOOLHOUSE PTE LTD,2025-06-20,36
PT9775,Faith Methodist Preschool,2026-03-18,36
RC1885,Far Eastern Kindergarten,2023-10-20,36
PT9611,FIRST STEP MONTESSORI HOUSE PTE. LTD.,2023-10-29,36
PT9171,First Steps Preschool @ Admiralty,2024-02-01,36
PT8361,First Steps Preschool @ Depot Road,2025-05-02,24
RC1260,Foo Hai Aspiration Child Care Centre @ Tampines,2024-12-01,36
RC1460,Foo Hai Aspiration Childcare Centre @Bedok,2025-07-02,36
PT9361,Forrest Preschool,2025-05-15,36
PT9668,GATE Junior Preschool,2026-04-30,24
PT9826,GATE Junior Preschool,2026-03-20,24
PT8882,GENESIS CHILD CARE (TP) PTE. LTD.,2024-11-15,24
PT9033,Genius Gems Childcare @ Changi,2024-04-01,36
PT8709,GENIUS HIVE PRE-SCHOOL PTE. LTD.,2024-12-01,36
PT7800,GENIUS SCHOOL HOUSE,2025-04-14,36
RC1716,GLOBAL CHILD DEVELOPMENT CENTRE,2024-05-01,36
RC1781,GLOBAL CHILD DEVELOPMENT CENTRE @ TAMPINES,2025-08-14,24
RC1762,GLOBAL MINDZ (EDEN) PRESCHOOL LIMITED,2026-06-12,36
PT9367,GLOBAL TOTS @ MOUNTBATTEN PTE LTD,2026-07-01,24
RC1430,GLORY JOY CHILD DEVELOPMENT CENTRE,2025-01-02,24
RC1823,Glory Kindergarten,2023-10-15,36
RC1804,Good Shepherd Preschool,2025-01-01,24
RC0035,GRACE CHILD DEVELOPMENT CENTRE,2026-01-02,36
PT9713,Grace House @ Tanglin Pte Ltd,2025-01-01,24
RC0640,GREEN PASTURES CHILD CENTRE,2025-11-02,36
PT7650,Greenery Childcare Centre,2024-09-01,36
PT8959,GREENFIELD MONTESSORI CHILDCARE PTE LTD,2026-01-01,24
PT9240,GREENLAND CHILDCARE @ FERNVALE PTE LTD,2024-03-17,36
PT9336,GREENLAND CHILDCARE @ PUNGGOL DRIVE PTE LTD,2025-02-03,36
PT9241,GREENLAND CHILDCARE @ PUNGGOL PTE LTD,2024-03-17,36
PT9342,GREENLAND CHILDCARE @ SUMANG WALK PTE. LTD.,2026-01-02,36
PT8999,Greenland Childcare Centre,2025-01-02,36
PT8853,Greentree Children Community Pte Ltd,2026-07-14,12
PT9723,Greentree Montessori Children Cottage,2025-02-19,24
